Date,CHC
2/01/2021 16:00,13.72
2/02/2021 16:00,13.84
2/03/2021 16:00,14.28
2/04/2021 16:00,13.89
2/05/2021 16:00,14.1
2/08/2021 16:00,14
2/09/2021 16:00,13.83
2/10/2021 16:00,14.26
2/11/2021 16:00,14.17
2/12/2021 16:00,14.25
2/15/2021 16:00:00,14.02
2/16/2021 16:00:00,13.78
2/17/2021 16:00:00,12.82
2/18/2021 16:00:00,12.7
2/19/2021 16:00:00,12.57
2/22/2021 16:00:00,12.51
2/23/2021 16:00:00,12.41
2/24/2021 16:00:00,12.18
2/25/2021 16:00:00,12.18
2/26/2021 16:00:00,11.86
3/01/2021 16:00,12.52
3/02/2021 16:00,12.32
3/03/2021 16:00,12.17
3/04/2021 16:00,12
3/05/2021 16:00,11.85
3/08/2021 16:00,12.03
3/09/2021 16:00,11.79
3/10/2021 16:00,11.89
3/11/2021 16:00,11.82
3/12/2021 16:00,11.66
3/15/2021 16:00:00,11.62
3/16/2021 16:00:00,12.26
3/17/2021 16:00:00,12.13
3/18/2021 16:00:00,12.44
3/19/2021 16:00:00,12.64
3/22/2021 16:00:00,12.76
3/23/2021 16:00:00,12.91
3/24/2021 16:00:00,13.27
3/25/2021 16:00:00,13.25
3/26/2021 16:00:00,13.05
3/29/2021 16:00:00,12.96
3/30/2021 16:00:00,12.84
3/31/2021 16:00:00,12.88
4/01/2021 16:00,12.67
4/06/2021 16:00,12.77
4/07/2021 16:00,13.18
4/08/2021 16:00,13.3
4/09/2021 16:00,13.47
4/12/2021 16:00,13.1
4/13/2021 16:00:00,13.11
4/14/2021 16:00:00,13.49
4/15/2021 16:00:00,13.37
4/16/2021 16:00:00,13.69
4/19/2021 16:00:00,13.63
4/20/2021 16:00:00,13.55
4/21/2021 16:00:00,13.41
4/22/2021 16:00:00,13.62
4/23/2021 16:00:00,13.98
4/26/2021 16:00:00,13.91
4/27/2021 16:00:00,13.87
4/28/2021 16:00:00,14.14
4/29/2021 16:00:00,14.13
4/30/2021 16:00:00,14
5/03/2021 16:00,14.22
5/04/2021 16:00,14.18
5/05/2021 16:00,14.4
5/06/2021 16:00,14.08
5/07/2021 16:00,14.19
5/10/2021 16:00,14.45
5/11/2021 16:00,14.07
5/12/2021 16:00,13.87
5/13/2021 16:00:00,13.52
5/14/2021 16:00:00,13.58
5/17/2021 16:00:00,13.47
5/18/2021 16:00:00,13.5
5/19/2021 16:00:00,13.54
5/20/2021 16:00:00,13.66
5/21/2021 16:00:00,13.58
5/24/2021 16:00:00,13.8
5/25/2021 16:00:00,14.41
5/26/2021 16:00:00,13.95
5/27/2021 16:00:00,13.88
5/28/2021 16:00:00,14.16
