Date,APA
10/19/2020 16:00:00,11.01
10/20/2020 16:00:00,10.99
10/21/2020 16:00:00,10.78
10/22/2020 16:00:00,10.68
10/23/2020 16:00:00,10.72
10/26/2020 16:00:00,10.75
10/27/2020 16:00:00,10.66
10/28/2020 16:00:00,10.69
10/29/2020 16:00:00,10.5
10/30/2020 16:00:00,10.49
11/02/2020 16:00,10.77
11/03/2020 16:00,10.88
11/04/2020 16:00,10.93
11/05/2020 16:00,11.02
11/06/2020 16:00,10.89
11/09/2020 16:00,10.87
11/10/2020 16:00,10.79
11/11/2020 16:00,10.8
11/12/2020 16:00,10.62
11/13/2020 16:00:00,10.6
11/16/2020 16:00:00,10.69
11/17/2020 16:00:00,10.55
11/18/2020 16:00:00,10.6
11/19/2020 16:00:00,10.53
11/20/2020 16:00:00,10.55
11/23/2020 16:00:00,10.53
11/24/2020 16:00:00,10.59
11/25/2020 16:00:00,10.53
11/26/2020 16:00:00,10.69
11/27/2020 16:00:00,10.57
11/30/2020 16:00:00,10.35
12/01/2020 16:00,10.46
12/02/2020 16:00,10.36
12/03/2020 16:00,10.3
12/04/2020 16:00,10.18
12/07/2020 16:00,10.11
12/08/2020 16:00,10.26
12/09/2020 16:00,10.47
12/10/2020 16:00,10.37
12/11/2020 16:00,10.24
12/14/2020 16:00:00,10.25
12/15/2020 16:00:00,10.19
12/16/2020 16:00:00,10.28
12/17/2020 16:00:00,10.34
12/18/2020 16:00:00,10.27
12/21/2020 16:00:00,10.18
12/22/2020 16:00:00,10.09
12/23/2020 16:00:00,10.21
12/24/2020 16:00:00,10.11
12/29/2020 16:00:00,10.13
12/30/2020 16:00:00,9.84
12/31/2020 16:00:00,9.65
1/04/2021 16:00,9.78
1/05/2021 16:00,9.82
1/06/2021 16:00,9.81
1/07/2021 16:00,9.87
1/08/2021 16:00,9.84
1/11/2021 16:00,9.81
1/12/2021 16:00,9.85
1/13/2021 16:00:00,9.6
1/14/2021 16:00:00,9.65
1/15/2021 16:00:00,9.56
1/18/2021 16:00:00,9.5
1/19/2021 16:00:00,9.54
1/20/2021 16:00:00,9.51
1/21/2021 16:00:00,9.52
1/22/2021 16:00:00,9.47
1/25/2021 16:00:00,9.56
1/27/2021 16:00:00,9.72
1/28/2021 16:00:00,9.76
1/29/2021 16:00:00,9.79
2/01/2021 16:00,9.7
2/02/2021 16:00,9.79
2/03/2021 16:00,9.85
2/04/2021 16:00,9.66
2/05/2021 16:00,9.68
2/08/2021 16:00,9.44
2/09/2021 16:00,9.35
2/10/2021 16:00,9.48
2/11/2021 16:00,9.45
2/12/2021 16:00,9.48
2/15/2021 16:00:00,9.46
2/16/2021 16:00:00,9.47
2/17/2021 16:00:00,9.31
2/18/2021 16:00:00,9.24
2/19/2021 16:00:00,9.25
2/22/2021 16:00:00,9.17
2/23/2021 16:00:00,9.06
2/24/2021 16:00:00,9.33
2/25/2021 16:00:00,9.43
