Date,AAPL
4/14/2020 16:00:00,71.76
4/15/2020 16:00:00,71.11
4/16/2020 16:00:00,71.67
4/17/2020 16:00:00,70.7
4/20/2020 16:00:00,69.23
4/21/2020 16:00:00,67.09
4/22/2020 16:00:00,69.03
4/23/2020 16:00:00,68.76
4/24/2020 16:00:00,70.74
4/27/2020 16:00:00,70.79
4/28/2020 16:00:00,69.65
4/29/2020 16:00:00,71.93
4/30/2020 16:00:00,73.45
5/01/2020 16:00,72.27
5/04/2020 16:00,73.29
5/05/2020 16:00,74.39
5/06/2020 16:00,75.16
5/07/2020 16:00,75.94
5/08/2020 16:00,77.53
5/11/2020 16:00,78.75
5/12/2020 16:00,77.85
5/13/2020 16:00:00,76.91
5/14/2020 16:00:00,77.39
5/15/2020 16:00:00,76.93
5/18/2020 16:00:00,78.74
5/19/2020 16:00:00,78.29
5/20/2020 16:00:00,79.81
5/21/2020 16:00:00,79.21
5/22/2020 16:00:00,79.72
5/26/2020 16:00:00,79.18
5/27/2020 16:00:00,79.53
5/28/2020 16:00:00,79.56
5/29/2020 16:00:00,79.49
6/01/2020 16:00,80.46
6/02/2020 16:00,80.83
6/03/2020 16:00,81.28
6/04/2020 16:00,80.58
6/05/2020 16:00,82.88
6/08/2020 16:00,83.37
6/09/2020 16:00,86
6/10/2020 16:00,88.21
6/11/2020 16:00,83.98
6/12/2020 16:00,84.7
6/15/2020 16:00:00,85.75
6/16/2020 16:00:00,88.02
6/17/2020 16:00:00,87.9
6/18/2020 16:00:00,87.93
6/19/2020 16:00:00,87.43
6/22/2020 16:00:00,89.72
6/23/2020 16:00:00,91.63
6/24/2020 16:00:00,90.02
6/25/2020 16:00:00,91.21
6/26/2020 16:00:00,88.41
6/29/2020 16:00:00,90.45
6/30/2020 16:00:00,91.2
7/01/2020 16:00,91.03
7/02/2020 16:00,91.03
7/06/2020 16:00,93.46
7/07/2020 16:00,93.17
7/08/2020 16:00,95.34
7/09/2020 16:00,95.68
7/10/2020 16:00,95.92
7/13/2020 16:00:00,95.48
