Date,ACDC
7/21/2020 16:00:00,58.15
7/22/2020 16:00:00,57.26
7/23/2020 16:00:00,58.14
7/24/2020 16:00:00,57.8
7/27/2020 16:00:00,57.48
7/28/2020 16:00:00,58.32
7/29/2020 16:00:00,56.86
7/30/2020 16:00:00,57.29
7/31/2020 16:00:00,56
8/03/2020 16:00,56.03
8/04/2020 16:00,57.7
8/05/2020 16:00,58.4
8/06/2020 16:00,58.96
8/07/2020 16:00,58.95
8/10/2020 16:00,59.69
8/11/2020 16:00,60.5
8/12/2020 16:00,60.42
8/13/2020 16:00:00,60.7
8/14/2020 16:00:00,60.68
8/17/2020 16:00:00,60.09
8/18/2020 16:00:00,60.41
8/19/2020 16:00:00,60
8/20/2020 16:00:00,59.62
8/21/2020 16:00:00,60.24
8/24/2020 16:00:00,60.4
8/25/2020 16:00:00,61.32
8/26/2020 16:00:00,61.15
8/27/2020 16:00:00,61.95
8/28/2020 16:00:00,61.29
8/31/2020 16:00:00,61.2
9/01/2020 16:00,61
9/02/2020 16:00,61.02
9/03/2020 16:00,61.33
9/04/2020 16:00,59.66
9/07/2020 16:00,59.65
9/08/2020 16:00,59.95
9/09/2020 16:00,59.09
9/10/2020 16:00,59.98
9/11/2020 16:00,59.59
9/14/2020 16:00:00,59.85
9/15/2020 16:00:00,60.82
9/16/2020 16:00:00,61.43
9/17/2020 16:00:00,60.98
9/18/2020 16:00:00,61.7
9/21/2020 16:00:00,60.85
9/22/2020 16:00:00,59.74
9/23/2020 16:00:00,59.61
9/24/2020 16:00:00,58.43
9/25/2020 16:00:00,58.52
9/28/2020 16:00:00,59.21
9/29/2020 16:00:00,60.31
9/30/2020 16:00:00,60.23
10/01/2020 16:00,61.26
10/02/2020 16:00,60.01
10/05/2020 16:00,60.5
10/06/2020 16:00,62.88
10/07/2020 16:00,63.03
10/08/2020 16:00,64.5
10/09/2020 16:00,64.43
10/12/2020 16:00,63.7
10/13/2020 16:00:00,63.81
10/14/2020 16:00:00,63.73
10/15/2020 16:00:00,64.32
10/16/2020 16:00:00,63.97
10/19/2020 16:00:00,64.91
10/20/2020 16:00:00,65.05
10/21/2020 16:00:00,65.74
10/22/2020 16:00:00,65.26
10/23/2020 16:00:00,65.72
10/26/2020 16:00:00,65.15
10/27/2020 16:00:00,64.3
10/28/2020 16:00:00,63.47
10/29/2020 16:00:00,64.22
10/30/2020 16:00:00,63.87
11/02/2020 16:00,63.94
11/03/2020 16:00,64.97
11/04/2020 16:00,65.5
11/05/2020 16:00,65.68
11/06/2020 16:00,66.71
11/09/2020 16:00,69.99
11/10/2020 16:00,69.19
11/11/2020 16:00,69.6
11/12/2020 16:00,69.85
11/13/2020 16:00:00,70.24
11/16/2020 16:00:00,72
11/17/2020 16:00:00,72.97
11/18/2020 16:00:00,73.21
11/19/2020 16:00:00,73.87
11/20/2020 16:00:00,74.91
11/23/2020 16:00:00,77.28
11/24/2020 16:00:00,78.72
11/25/2020 16:00:00,79.16
11/26/2020 16:00:00,78.7
11/27/2020 16:00:00,79
11/30/2020 16:00:00,78.76
12/01/2020 16:00,78.69
12/02/2020 16:00,78.69
12/03/2020 16:00,79.06
12/04/2020 16:00,79.35
12/07/2020 16:00,79.82
12/08/2020 16:00,80.81
12/09/2020 16:00,81.23
12/10/2020 16:00,80.26
12/11/2020 16:00,79.33
12/14/2020 16:00:00,80.02
12/15/2020 16:00:00,79.67
12/16/2020 16:00:00,80.83
12/17/2020 16:00:00,80.24
12/18/2020 16:00:00,80.48
12/21/2020 16:00:00,80.8
12/22/2020 16:00:00,80.97
12/23/2020 16:00:00,81
12/24/2020 16:00:00,81.35
12/29/2020 16:00:00,82.97
12/30/2020 16:00:00,82.62
12/31/2020 16:00:00,82.96
1/04/2021 16:00,83.31
1/05/2021 16:00,84.1
1/06/2021 16:00,85.13
1/07/2021 16:00,87.76
1/08/2021 16:00,90.02
1/11/2021 16:00,90.45
1/12/2021 16:00,88.68
1/13/2021 16:00:00,90.81
1/14/2021 16:00:00,90.28
1/15/2021 16:00:00,89.05
1/18/2021 16:00:00,87.98
1/19/2021 16:00:00,88.47
1/20/2021 16:00:00,89.21
1/21/2021 16:00:00,90.9
1/22/2021 16:00:00,90.03
1/25/2021 16:00:00,90.64
1/27/2021 16:00:00,89.04
1/28/2021 16:00:00,88.06
1/29/2021 16:00:00,85.7
2/01/2021 16:00,86.54
2/02/2021 16:00,88.1
2/03/2021 16:00,89.77
2/04/2021 16:00,88.87
2/05/2021 16:00,89.52
2/08/2021 16:00,90.53
2/09/2021 16:00,90.8
2/10/2021 16:00,91.32
2/11/2021 16:00,90.3
2/12/2021 16:00,90.49
2/15/2021 16:00:00,91.76
2/16/2021 16:00:00,92.5
2/17/2021 16:00:00,92.9
2/18/2021 16:00:00,91.52
2/19/2021 16:00:00,89.81
2/22/2021 16:00:00,89.68
2/23/2021 16:00:00,88.89
2/24/2021 16:00:00,86.83
2/25/2021 16:00:00,87.62
2/26/2021 16:00:00,85.7
3/01/2021 16:00,86.85
3/02/2021 16:00,87.38
3/03/2021 16:00,88.5
3/04/2021 16:00,86.96
3/05/2021 16:00,86.39
3/08/2021 16:00,86.22
3/09/2021 16:00,86.69
3/10/2021 16:00,87.19
3/11/2021 16:00,88.51
3/12/2021 16:00,88.84
3/15/2021 16:00:00,89.71
3/16/2021 16:00:00,89.6
3/17/2021 16:00:00,88.95
3/18/2021 16:00:00,90.08
3/19/2021 16:00:00,89.87
3/22/2021 16:00:00,88.98
3/23/2021 16:00:00,88.47
3/24/2021 16:00:00,87.53
3/25/2021 16:00:00,87.2
3/26/2021 16:00:00,88.53
3/29/2021 16:00:00,88.74
3/30/2021 16:00:00,88.07
3/31/2021 16:00:00,89.31
4/01/2021 16:00,91
4/06/2021 16:00,91.19
4/07/2021 16:00,93
4/08/2021 16:00,92.81
4/09/2021 16:00,92.33
4/12/2021 16:00,92.49
4/13/2021 16:00:00,93.4
4/14/2021 16:00:00,94.6
4/15/2021 16:00:00,94.25
4/16/2021 16:00:00,93.85
4/19/2021 16:00:00,94.75
4/20/2021 16:00:00,93.55
4/21/2021 16:00:00,91.98
4/22/2021 16:00:00,91.91
4/23/2021 16:00:00,92.25
4/26/2021 16:00:00,92.81
4/27/2021 16:00:00,93.35
4/28/2021 16:00:00,93.31
4/29/2021 16:00:00,93.8
4/30/2021 16:00:00,92.65
5/03/2021 16:00,92.5
5/04/2021 16:00,92.86
5/05/2021 16:00,92.49
5/06/2021 16:00,93.14
5/07/2021 16:00,92.51
5/10/2021 16:00,93.74
5/11/2021 16:00,92.05
5/12/2021 16:00,90.5
5/13/2021 16:00:00,88.5
5/14/2021 16:00:00,88.62
5/17/2021 16:00:00,89.1
5/18/2021 16:00:00,90.03
5/19/2021 16:00:00,88.65
5/20/2021 16:00:00,88.99
5/21/2021 16:00:00,88.73
5/24/2021 16:00:00,89.83
5/25/2021 16:00:00,91.08
5/26/2021 16:00:00,90.54
5/27/2021 16:00:00,91.44
5/28/2021 16:00:00,93.8
5/31/2021 16:00:00,92.88
6/01/2021 16:00,93.6
6/02/2021 16:00,93.65
6/03/2021 16:00,94.82
6/04/2021 16:00,95.18
6/07/2021 16:00,95.06
6/08/2021 16:00,95.07
6/09/2021 16:00,95.6
6/10/2021 16:00,94.84
6/11/2021 16:00,94.75
6/15/2021 16:00:00,95.04
6/16/2021 16:00:00,94.3
6/17/2021 16:00:00,94.6
6/18/2021 16:00:00,95.87
6/21/2021 16:00:00,94.08
6/22/2021 16:00:00,95.41
6/23/2021 16:00:00,95.01
6/24/2021 16:00:00,95.06
6/25/2021 16:00:00,95.58
6/28/2021 16:00:00,95.81
6/29/2021 16:00:00,95.42
6/30/2021 16:00:00,90.23
7/01/2021 16:00,90.48
7/02/2021 16:00,91.19
7/05/2021 16:00,90.7
7/06/2021 16:00,90.39
7/07/2021 16:00,90.11
7/08/2021 16:00,89.75
7/09/2021 16:00,89.36
7/12/2021 16:00,90.86
7/13/2021 16:00:00,91.5
7/14/2021 16:00:00,91.04
7/15/2021 16:00:00,90.63
7/16/2021 16:00:00,90.92
7/19/2021 16:00:00,88.94
7/20/2021 16:00:00,88
7/21/2021 16:00:00,89.91
7/22/2021 16:00:00,91.63
7/23/2021 16:00:00,91.56
7/26/2021 16:00:00,91.33
7/27/2021 16:00:00,91.47
7/28/2021 16:00:00,91.23
7/29/2021 16:00:00,92.38
7/30/2021 16:00:00,92.4
8/02/2021 16:00,94.1
8/03/2021 16:00,93.58
8/04/2021 16:00,93.96
8/05/2021 16:00,93.29
8/06/2021 16:00,93.62
8/09/2021 16:00,94.1
8/10/2021 16:00,95.4
8/11/2021 16:00,96.47
8/12/2021 16:00,96.4
8/13/2021 16:00:00,96.08
8/16/2021 16:00:00,95.11
8/17/2021 16:00:00,93.79
8/18/2021 16:00:00,93.38
8/19/2021 16:00:00,92.71
8/20/2021 16:00:00,90.79
8/23/2021 16:00:00,92.72
8/24/2021 16:00:00,93.36
8/25/2021 16:00:00,93.71
8/26/2021 16:00:00,93.06
8/27/2021 16:00:00,92.91
8/30/2021 16:00:00,93.61
8/31/2021 16:00:00,93.75
9/01/2021 16:00,93.46
9/02/2021 16:00,92.28
9/03/2021 16:00,92.79
9/06/2021 16:00,93
9/07/2021 16:00,93.24
9/08/2021 16:00,93.76
9/09/2021 16:00,92.5
9/10/2021 16:00,92.69
9/13/2021 16:00:00,92.72
9/14/2021 16:00:00,94.23
9/15/2021 16:00:00,93.7
9/16/2021 16:00:00,93.5
9/17/2021 16:00:00,92.91
9/20/2021 16:00:00,91.5
9/21/2021 16:00:00,90.44
9/22/2021 16:00:00,91.08
9/23/2021 16:00:00,93.25
9/24/2021 16:00:00,93.24
9/27/2021 16:00:00,93.85
9/28/2021 16:00:00,93.85
9/29/2021 16:00:00,92.73
9/30/2021 16:00:00,93.53
10/01/2021 16:00,91.5
10/04/2021 16:00,91.35
10/05/2021 16:00,90.3
10/06/2021 16:00,89.71
10/07/2021 16:00,89.9
10/08/2021 16:00,89.86
10/11/2021 16:00,90.31
10/12/2021 16:00,90.48
10/13/2021 16:00:00,91.6
10/14/2021 16:00:00,92.11
10/15/2021 16:00:00,92.81
10/18/2021 16:00:00,93.37
10/19/2021 16:00:00,92.98
10/20/2021 16:00:00,92.45
10/21/2021 16:00:00,91.68
10/22/2021 16:00:00,91.7
10/25/2021 16:00:00,91.99
10/26/2021 16:00:00,93.32
10/27/2021 16:00:00,92.43
10/28/2021 16:00:00,92.59
10/29/2021 16:00:00,91.92
11/01/2021 16:00,92.86
11/02/2021 16:00,94.25
11/03/2021 16:00,94.6
11/04/2021 16:00,95.9
11/05/2021 16:00,96.01
11/08/2021 16:00,96.35
11/09/2021 16:00,96.87
11/10/2021 16:00,96.26
11/11/2021 16:00,97.05
11/12/2021 16:00,97.86
11/15/2021 16:00:00,97.35
11/16/2021 16:00:00,97.18
11/17/2021 16:00:00,97.46
11/18/2021 16:00:00,98.01
11/19/2021 16:00:00,97.75
11/22/2021 16:00:00,98.42
11/23/2021 16:00:00,98.54
11/24/2021 16:00:00,97.67
11/25/2021 16:00:00,98.18
11/26/2021 16:00:00,96.47
11/29/2021 16:00:00,95.1
11/30/2021 16:00:00,95.25
12/01/2021 16:00,94.53
12/02/2021 16:00,93.92
12/03/2021 16:00,94.8
