Date,AMC
9/15/2020 16:00:00,15.25
9/16/2020 16:00:00,15.27
9/17/2020 16:00:00,15.2
9/18/2020 16:00:00,15.42
9/21/2020 16:00:00,15.44
9/22/2020 16:00:00,15.21
9/23/2020 16:00:00,15.38
9/24/2020 16:00:00,14.96
9/25/2020 16:00:00,15.05
9/28/2020 16:00:00,15.35
9/29/2020 16:00:00,15.16
9/30/2020 16:00:00,15.33
10/01/2020 16:00,15.57
10/02/2020 16:00,15.17
10/05/2020 16:00,15.42
10/06/2020 16:00,15.39
10/07/2020 16:00,15.47
10/08/2020 16:00,15.64
10/09/2020 16:00,15.82
10/12/2020 16:00,15.74
10/13/2020 16:00:00,15.89
10/14/2020 16:00:00,15.91
10/15/2020 16:00:00,16.03
10/16/2020 16:00:00,16.14
10/19/2020 16:00:00,16.17
10/20/2020 16:00:00,15.94
10/21/2020 16:00:00,15.78
10/22/2020 16:00:00,15.51
10/23/2020 16:00:00,15.38
10/26/2020 16:00:00,15.17
10/27/2020 16:00:00,14.82
10/28/2020 16:00:00,14.84
10/29/2020 16:00:00,14.92
10/30/2020 16:00:00,14.81
11/02/2020 16:00,15
11/03/2020 16:00,15.4
11/04/2020 16:00,15.48
11/05/2020 16:00,15.44
11/06/2020 16:00,16.07
11/09/2020 16:00,16.14
11/10/2020 16:00,16
11/11/2020 16:00,16.17
11/12/2020 16:00,16.1
11/13/2020 16:00:00,15.82
11/16/2020 16:00:00,16.19
11/17/2020 16:00:00,16.36
11/18/2020 16:00:00,16.22
11/19/2020 16:00:00,16.21
11/20/2020 16:00:00,16.2
11/23/2020 16:00:00,15.98
11/24/2020 16:00:00,15.7
11/25/2020 16:00:00,15.83
11/26/2020 16:00:00,15.49
11/27/2020 16:00:00,15.47
11/30/2020 16:00:00,15.22
12/01/2020 16:00,15.45
12/02/2020 16:00,15.55
12/03/2020 16:00,15.37
12/04/2020 16:00,15.34
12/07/2020 16:00,15.34
12/08/2020 16:00,15.18
12/09/2020 16:00,15.49
12/10/2020 16:00,15.48
12/11/2020 16:00,15.16
12/14/2020 16:00:00,15.21
12/15/2020 16:00:00,15.16
12/16/2020 16:00:00,15.18
12/17/2020 16:00:00,15.16
12/18/2020 16:00:00,15.02
12/21/2020 16:00:00,15.26
12/22/2020 16:00:00,15.15
12/23/2020 16:00:00,15.27
12/24/2020 16:00:00,15.24
12/29/2020 16:00:00,15.35
12/30/2020 16:00:00,15.43
12/31/2020 16:00:00,15.34
1/04/2021 16:00,15.16
1/05/2021 16:00,15.08
1/06/2021 16:00,14.7
1/07/2021 16:00,15
1/08/2021 16:00,14.94
1/11/2021 16:00,14.8
1/12/2021 16:00,14.89
1/13/2021 16:00:00,14.86
1/14/2021 16:00:00,14.71
1/15/2021 16:00:00,14.58
1/18/2021 16:00:00,14.44
1/19/2021 16:00:00,14.52
1/20/2021 16:00:00,14.42
1/21/2021 16:00:00,14.44
1/22/2021 16:00:00,14.5
1/25/2021 16:00:00,14.4
1/27/2021 16:00:00,14.31
1/28/2021 16:00:00,14.35
1/29/2021 16:00:00,14.38
2/01/2021 16:00,14.34
2/02/2021 16:00,14.39
2/03/2021 16:00,15.03
2/04/2021 16:00,14.46
2/05/2021 16:00,14.89
2/08/2021 16:00,15.05
2/09/2021 16:00,14.79
2/10/2021 16:00,14.62
2/11/2021 16:00,14.79
2/12/2021 16:00,14.54
2/15/2021 16:00:00,14.76
2/16/2021 16:00:00,14.69
2/17/2021 16:00:00,14.64
2/18/2021 16:00:00,14.68
2/19/2021 16:00:00,14.68
2/22/2021 16:00:00,14.5
2/23/2021 16:00:00,14.4
2/24/2021 16:00:00,14.23
2/25/2021 16:00:00,14.41
2/26/2021 16:00:00,14.24
3/01/2021 16:00,14.36
3/02/2021 16:00,14.45
3/03/2021 16:00,14.75
3/04/2021 16:00,14.83
3/05/2021 16:00,14.6
3/08/2021 16:00,14.89
3/09/2021 16:00,15.23
3/10/2021 16:00,15.17
3/11/2021 16:00,15.26
